,0,1
1,400,58.22213913
2,405,58.76831304
3,410,60.40683478
4,415,61.49918261
5,420,62.26382609
6,425,62.81
7,430,62.81
8,435,62.48229565
9,440,62.04535652
10,445,61.49918261
11,450,59.86066087
12,455,58.00366957
13,460,54.50815652
14,465,50.248
15,470,44.67702609
16,475,39.87069565
17,480,32.55196522
18,485,26.76252174
19,490,21.9561913
20,495,17.69603478
21,500,13.65434783
22,505,10.15883478
23,510,7.755669565
24,515,5.134034783
25,520,3.495513043
26,525,2.403165217
27,530,1.856991304
28,535,1.856991304
29,540,1.856991304
30,545,1.856991304
31,550,2.184695652
32,555,2.403165217
33,560,1.856991304
34,565,1.638521739
35,570,1.092347826
36,575,0.546173913
37,580,0.546173913
38,585,0.546173913
39,590,0
40,595,0
41,600,0
42,605,0
43,610,0
44,615,0
45,620,0
46,625,0
47,630,0
48,635,0
49,640,0
50,645,0
51,650,0
52,655,0
53,660,0
54,665,0.546173913
55,670,1.310817391
56,675,1.310817391
57,680,1.310817391
58,685,1.638521739
59,690,1.638521739
60,695,1.856991304
61,700,1.856991304
